product_name,category,energy_kcal_100g,fat_100g,sugars_100g,carbohydrates_100g,serving_size_g,packaging_quantity,source_url
Jben,"en:Dairies, en:Fermented foods, en:Fermented milk products, en:Spreads, en:Cheeses, en:Salted spreads, en:Cheese spreads, en:Fromage frais nature à 21%de matière grasse",235.0,21.0,0.0,3.5,160.0,,https://world.openfoodfacts.org/product/6111242106949
Marmite Yeast Extract,"Dairies, Fermented foods, Fermented milk products, Buttermilks, en:yeast-extract-spreads",260.0,0.5,1.2,30.0,8.0,,https://world.openfoodfacts.org/product/50184453
,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Fromages blancs - petit suisses et skyr,Yaourts,Desserts lactés fermentés nature,Fromages blancs,Fromages blancs natures",101.0,6.0,0.0,4.2,90.0,,https://world.openfoodfacts.org/product/6111242100985
Prince Goût Chocolat,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au chocolat",467.0,17.0,32.0,69.0,20.0,,https://world.openfoodfacts.org/product/7622210449283
Nutella,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao",539.0,30.9,56.3,57.5,15.0,,https://world.openfoodfacts.org/product/3017620425035
Tonik,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Cereals and their products,Cocoa and its products,Confectioneries,Flours,Biscuits,Cereal flours,Chocolate candies,Sweeteners,Wheat flours,Sugars,fr:Gaufrettes-fourrees-au-cacao",504.0,22.2,40.0,71.7,23.0,,https://world.openfoodfacts.org/product/6111031005064
Sésame,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits",467.0,18.0,17.0,64.0,11.5,,https://world.openfoodfacts.org/product/3175680011480
Confiture de fraise,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Petit-déjeuners,Produits à tartiner,Fruits et produits dérivés,Pâtes à tartiner végétales,Produits à tartiner sucrés,Confitures et marmelades,Confitures,Confitures de fruits rouges,Confitures de fraises",250.0,0.3,63.0,61.33,430.0,,https://world.openfoodfacts.org/product/6111162000839
Yaourt nature,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourts natures",78.5,3.3,0.0,8.0,100.0,,https://world.openfoodfacts.org/product/6111242100206
Dark Chocolate 85% Cocoa,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",579.0,46.8,12.9,21.4,12.5,,https://world.openfoodfacts.org/product/20995553
Nutella,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes",539.0,30.9,56.3,57.5,15.0,,https://world.openfoodfacts.org/product/3017620422003
Mandeln,"Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Almonds,Shelled nuts,Shelled almonds,Unsalted almonds",621.0,53.3,4.67,4.67,30.0,,https://world.openfoodfacts.org/product/20724696
Cosumar Sucre En Lingot Pour Le Thé 1 kg,"en:Sweeteners, en:Sugars",400.0,0.0,100.0,100.0,100.0,,https://world.openfoodfacts.org/product/6111029000118
,"Pequenos alomoços,Produtos para barrar,Doces para barrar,fr:Pâtes à tartiner,Creme para barrar de avelã,Creme para barrar de chocolate,Creme para barrar de avelã e cacau",539.0,30.9,56.3,57.5,15.0,,https://world.openfoodfacts.org/product/80177173
Henry’s,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits",440.0,10.8235,24.2353,76.4706,42.0,,https://world.openfoodfacts.org/product/3362600011044
Assil,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",95.5,2.7,9.0,14.0,3.0,,https://world.openfoodfacts.org/product/6111032001003
,"Alimentos e bebidas à base de plantas,Alimentos à base de plantas,Pequenos alomoços,Produtos para barrar,Produtos para barrar à base de plantas,Doces para barrar,fr:Pâtes à tartiner,Creme para barrar de avelã,Creme para barrar de chocolate,Creme para barrar de avelã e cacau",539.0,30.9,56.3,57.5,15.0,,https://world.openfoodfacts.org/product/80135463
Ciel 33cl,"Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux de table",0.0,0.0,0.0,0.0,1.0,,https://world.openfoodfacts.org/product/42104964
sauce tomate cuisinée,Sauces tomate,68.0,0.4,4.4,7.6,50.0,,https://world.openfoodfacts.org/product/8445290615350
